view_count,followers_count,is_following,title,introduction,section_list,banner,updated,id
22918843,1,false,4·15全民国家安全教育日丨国安于心 守护同行,山河安澜，初心坚守，共筑平安家国,"[{""section_id"":""2025242574231811371"",""section_title"":""全民防线""},{""section_id"":""2025243151208563325"",""section_title"":""无声战场""},{""section_id"":""2025243836021055506"",""section_title"":""家国同心""}]",https://pic1.zhimg.com/100/v2-ee615d4eef835dd1603c03f9659346fc_hd.png,1775635871,2025242081262675533
1064708,12,false,2026清明节丨清风寄念 哀思绵长,山河清朗，缅怀遥寄，常念往昔温情,"[{""section_id"":""2023075286611174294"",""section_title"":""清明习俗""},{""section_id"":""2023075351396455728"",""section_title"":""追思怀远""},{""section_id"":""2023075414277386756"",""section_title"":""节令物侯""}]",https://pic3.zhimg.com/100/v2-85becf1d600f8753fd556d7dc5337ba2_hd.png,1775184924,2023074101875492733
3306083,2,false,骏马闹元宵 京彩中国节,花灯映月，喜乐相聚，共享中国年味。,"[{""section_id"":""2011104909928470446"",""section_title"":""元宵习俗""},{""section_id"":""2011104965578494811"",""section_title"":""团聚情谊""},{""section_id"":""2011105050387321781"",""section_title"":""节庆活力""}]",https://pic2.zhimg.com/100/v2-61cbf102b5defbe8858631984a43a069_hd.png,1775109100,2011090301901624555
48336570,24,false,北京大视听·春天马上来,根据北京市广电局春节文化活动整体安排，统筹北京大视听优质资源，知乎于2026年春节期间，上线“北京大视听·春天’马‘上来”专区，集中展播优秀作品，丰富群众假日文化供给。,"[{""section_id"":""2002741249065652414"",""section_title"":""网络综艺""},{""section_id"":""1999884408811962449"",""section_title"":""纪录片""},{""section_id"":""2002741284297778075"",""section_title"":""盛典活动""}]",https://pic3.zhimg.com/100/v2-c49e621d2864524519d594041d810fc6_hd.png,1770602552,1999835161072800048
4011864,11,false,全国网络普法行·北京站,互联网时代，法律不再是晦涩的条文，而是每个人手中的「工具箱」，法律与生活的边界正在消融。聚焦网民最关心的‌法律盲区、维权痛点、新兴技术伦理‌，让法律知识从「纸上规则」变为「生活解法」。,"[{""section_id"":""1974929247538811963"",""section_title"":""网络普法进行时""},{""section_id"":""1974929303432098575"",""section_title"":""法律法规知多少""},{""section_id"":""1974929366074013674"",""section_title"":""生活中的法律""},{""section_id"":""1974929409615103046"",""section_title"":""法治护航未成年人""}]",https://pic4.zhimg.com/100/v2-a845dcd4264f2cc02b19aee084b11dfb_hd.png,1763640202,1974919472595871232
1731517,9,false,2025重阳｜孝满中华 德润人心,登高望远，尊老助老，共度中国节。,"[{""section_id"":""1965085377053319925"",""section_title"":""重阳习俗""},{""section_id"":""1965090805308986440"",""section_title"":""尊老助老""},{""section_id"":""1965090846526402603"",""section_title"":""银发经济""}]",https://pic1.zhimg.com/100/v2-0c73f7047d5e9973f777b14797f63e9c_hd.png,1761532312,1965084851284735395
982519,19,false,2025年中国网络文明大会,汇聚网络正能量 引领时代新风尚,"[{""section_id"":""1915459925842331448"",""section_title"":""2025年中国网络文明大会""},{""section_id"":""1915460865353839024"",""section_title"":""网络文明建设""},{""section_id"":""1915462249658681242"",""section_title"":""个人信息保护""}]",https://pic4.zhimg.com/100/v2-a845dcd4264f2cc02b19aee084b11dfb_hd.png,1749527747,1915458132534101006
815466,5,false,和满京城 奋进九州,粽香浸润古都，龙舟激荡新潮，你了解端午节最初的起源吗？你的家乡都有哪些特殊的传统习俗？这个时节，都有哪些美食呢？你又有哪些出门游玩的计划呢？,"[{""section_id"":""1910313282268542547"",""section_title"":""解码节日渊源""},{""section_id"":""1910324865463984696"",""section_title"":""民间传统习俗""},{""section_id"":""1910324897235841969"",""section_title"":""端午饮食风味""},{""section_id"":""1910324930198865140"",""section_title"":""假期旅行消费""}]",https://pic4.zhimg.com/100/v2-9a42dc88c297516b7ecba2933b5dfb77_hd.png,1748581894,1910304383792571848
1711686,40,false,2025｜云上阅读季,云上阅读季，重温经典作品魅力，聚焦网络文学创新表达。,"[{""section_id"":""1892604127126737871"",""section_title"":"" 重温经典文学 IP""},{""section_id"":""1892598707188376019"",""section_title"":""科幻作品中的「预言」""},{""section_id"":""1892599200539190085"",""section_title"":""现实题材里的「烟火气」‌""},{""section_id"":""1892603610363299417"",""section_title"":""AI 闯入网文圈""}]",https://pic3.zhimg.com/100/v2-055b906c2678e177b21bf843bc23f0c2_hd.png,1751442884,1892598504750314146
1930951,0,false,网络普法 点亮生活,互联网时代，法律不再是晦涩的条文，而是每个人手中的「工具箱」，法律与生活的边界正在消融。「网络普法 点亮生活」专题，聚焦网民最关心的‌法律盲区、维权痛点、新兴技术伦理‌，让法律知识从「纸上规则」变为「生活解法」。,"[{""section_id"":""1892589446815266776"",""section_title"":""网络强国普法新篇""},{""section_id"":""1892591037224026242"",""section_title"":""网络谣言要说「不」""},{""section_id"":""1892592260622841765"",""section_title"":""网络护苗守「红线」""},{""section_id"":""1892592893291639306"",""section_title"":""网络普法在行动""}]",https://pic1.zhimg.com/100/v2-4ce424fe23bbf60f8cc9b9aea3da8bf8_hd.png,1761532203,1892588605198798930
882751,5,false,忆满九州 情思华夏,清明时节，扫墓踏青，你了解哪些关于清明的诗词文化、传统习俗？准备通过什么样的方式寄托哀思？,"[{""section_id"":""1888299418576478558"",""section_title"":""云上追思""},{""section_id"":""1888299523811562903"",""section_title"":""清明文化""},{""section_id"":""1888299630934069250"",""section_title"":""春日踏青""}]",https://pic3.zhimg.com/100/v2-b5e37f6959020e42f688ef99c4a41486_hd.png,1743500834,1888297394191442641
963560,4,false,金蛇起新岁，欢乐闹元宵,「元」气满满，喜「宵」颜开。欢乐元宵，共享团圆。,"[{""section_id"":""1872274514672500737"",""section_title"":""红红火火闹元宵""},{""section_id"":""1872282821059563523"",""section_title"":""传承千年的中国式浪漫""}]",https://pic2.zhimg.com/100/v2-dd8b92dff1d267a787d43f0c3182d215_hd.png,1739170765,1872272516929679360
814508,5,false,京彩春节的N种打开方式,春节，承载着团圆的温暖和对未来的美好祝愿。2025 年第一个非遗春节即将登场，你准备好迎新年了吗？,"[{""section_id"":""1865105132385095681"",""section_title"":""京彩春节""},{""section_id"":""1865105154078019584"",""section_title"":""非遗里的中国年""}]",https://pic2.zhimg.com/100/v2-d0dd147c29e7703e168843dc8a0d0291_hd.png,1737513877,1865104586597068800
47655928,11,false,北京大视听·春天的“视”集,根据北京市广电局元旦春节两节文化活动整体安排，统筹北京大视听优质资源，知乎于2025年春节期间，在首页首屏上线“北京大视听·春天的‘视’集”专区，集中展播优秀作品，丰富群众假日文化供给。,"[{""section_id"":""1864662026091122688"",""section_title"":""综艺节目""},{""section_id"":""1864661931203362818"",""section_title"":""纪录片""},{""section_id"":""1864662384620216320"",""section_title"":""晚会活动""}]",https://pic3.zhimg.com/100/v2-c59acde5fb37ac1012228908cfb3e492_hd.png,1737352422,1864661488037400577
619799,3,false,创在武汉,"各位才华横溢的创作者们！「映像武汉」官方号来知乎搞事情啦！我们正式开启#「创」在武汉#话题活动，现面向全网招募作者，一起用作品为武汉打 call。
无论你擅长摄影，能用镜头捕捉武汉的烟火人间、绝美江景；还是妙笔生花，以文字勾勒武汉的热干面香、黄鹤楼韵；亦或是剪辑大神，能通过视频展现武汉的车水马龙、四季更迭，形式统统不限，只要它满含你对武汉的热爱。
这是一场创意的狂欢，你的每一份作品都将成为武汉独特魅力的展示窗口。而且，重点来咯！我们将从众多佳作中精心挑选出 10 位优秀获奖者，奉上实打实的现金奖励。
别犹豫，快来加入创在武汉，让你的才华在这座英雄城市绽放光芒，和我们一起书写关于武汉的热血篇章吧！
期待看到你的精彩创作，速来！","[{""section_id"":""1863550795221434369"",""section_title"":""映像武汉""},{""section_id"":""1863550840201162752"",""section_title"":""「泳」者集结""},{""section_id"":""1863550884597858304"",""section_title"":""一针一世界""},{""section_id"":""1863550930462593024"",""section_title"":""初夏的快乐""},{""section_id"":""1863550986930487298"",""section_title"":""青春无敌 所向披靡""},{""section_id"":""1863551047374614528"",""section_title"":""魅力武汉""}]",https://pic2.zhimg.com/100/v2-e742371b57b50783e94a3df15f8ff6a9_hd.png,1737085637,1863547714706485248
3098153,65,false,元旦快乐丨2025更精彩, ,"[{""section_id"":""1857382904310677504"",""section_title"":""回望足迹""},{""section_id"":""1857382997759766528"",""section_title"":""奔向2025""},{""section_id"":""1857383053653045248"",""section_title"":""对话时代""},{""section_id"":""1857383102541852673"",""section_title"":""美好生活""}]",https://pic2.zhimg.com/100/v2-0135e21b7ab1ffaa6885f7d4f86f2ee5_hd.png,1735616783,1857381850634387456
